id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
123,"St. John Street, Finsbury",992,51.52836014,-0.104724625,TRUE,FALSE,1.28E+12,0,5,13,18
142,"West Cromwell Road, Earl's Court",1001,51.49372451,-0.198286569,TRUE,FALSE,1.28E+12,0,3,21,24
74,"Vauxhall Cross, Vauxhall",1000,51.48591714,-0.124469948,TRUE,FALSE,1.28E+12,0,0,17,17
116,"Little Argyll Street, West End",995,51.51449962,-0.141423695,TRUE,FALSE,1.28E+12,0,20,0,21
4,"St. Chad's Street, King's Cross",1013,51.53005939,-0.120973687,TRUE,FALSE,1.28E+12,0,4,19,23
1,"River Street , Clerkenwell",1023,51.52916347,-0.109970527,TRUE,FALSE,1.28E+12,0,11,8,19
30,"Windsor Terrace, Hoxton",1029,51.52915444,-0.093421615,TRUE,FALSE,1.28E+12,0,0,23,24
22,"Northington Street , Holborn",3425,51.5222641,-0.114079481,TRUE,FALSE,1.28E+12,0,10,9,19
247,"St. John's Wood Church, Regent's Park",1091,51.530052,-0.168314,TRUE,FALSE,1.28E+12,0,3,47,50
33,"Altab Ali Park, Whitechapel",3430,51.51681603,-0.067827542,TRUE,FALSE,1.28E+12,0,16,0,16
34,"Pancras Road, King's Cross",3428,51.5341235,-0.129386874,TRUE,FALSE,1.28E+12,0,2,13,16
36,"De Vere Gardens, Kensington",3446,51.50173726,-0.184980612,TRUE,FALSE,1.28E+12,1,2,26,28
37,"Penywern Road, Earl's Court",3444,51.49159394,-0.192369256,TRUE,FALSE,1.28E+12,0,1,16,17
38,"Abingdon Villas, Kensington",3442,51.4973875,-0.197245586,TRUE,FALSE,1.28E+12,0,9,6,17
103,"Vicarage Gate, Kensington",3441,51.50472376,-0.192538767,TRUE,FALSE,1.28E+12,0,0,18,18
40,"Commercial Street, Shoreditch",1083,51.52127071,-0.0755789,TRUE,FALSE,1.28E+12,0,11,4,16
39,"Shoreditch High Street, Shoreditch",3445,51.5263778,-0.078130921,TRUE,FALSE,1.28E+12,0,6,35,41
41,"Sun Street, Liverpool Street",1084,51.52001715,-0.083911168,TRUE,FALSE,1.28E+12,0,15,8,25
130,"Tower Gardens , Tower",1071,51.50950627,-0.075459482,TRUE,FALSE,1.28E+12,1,21,1,24
149,"Kennington Road Post Office, Oval",1073,51.48478899,-0.110683213,TRUE,FALSE,1.28E+12,0,7,10,18
140,"Finsbury Square , Moorgate",1056,51.52096262,-0.085634242,TRUE,FALSE,1.28E+12,0,28,3,33
110,"Wellington Road, St. John's Wood",1055,51.53304322,-0.172528678,TRUE,FALSE,1.28E+12,0,1,16,17
95,"Aldersgate Street, Barbican",1065,51.5208417,-0.097340162,TRUE,FALSE,1.28E+12,0,5,7,15
100,"Albert Embankment, Vauxhall",1059,51.49043573,-0.122806861,TRUE,FALSE,1.28E+12,0,13,10,24
136,"Queen Victoria Street, St. Paul's",1048,51.51196176,-0.097441687,TRUE,FALSE,1.28E+12,0,28,2,32
120,"The Guildhall, Guildhall",1044,51.51573534,-0.093080779,TRUE,FALSE,1.28E+12,0,9,8,17
91,"Walnut Tree Walk, Vauxhall",1076,51.49368637,-0.111014912,TRUE,FALSE,1.28E+12,0,3,16,20
